500.0				8.704
20.00				8.618
40.00				8.642
80.00				11.48
120.0				12.70
160.0				11.28
200.0				11.34
400.0				10.40
88.08				8.600
110.4				9.154
70.32				9.242
87.45				10.38
66.97				15.09
74.47				9.425
113.8				13.52
69.52				13.09
55.41				4.858
59.00				6.211
87.27				12.29
62.12				11.92
77.82				8.929
83.31				11.06
109.8				13.95
67.60				14.17
94.65				8.571
97.30				9.867
79.74				13.07
89.93				7.976
112.9				10.51
79.33				6.773
101.3				7.430
87.53				12.46
80.13				8.126
98.22				7.988
97.36				9.415
70.09				11.14
100.6				11.26
89.55				5.841
81.77				8.155
76.55				11.86
77.79				7.224
93.27				8.292
69.13				10.32
68.89				6.631
107.8				11.56
85.37				11.54
89.37				14.48
51.82				7.704
63.13				8.792
65.67				11.57
49.80				11.39
41.99				11.67
46.72				9.611
57.24				11.54
127.9				7.746
55.73				7.981
65.30				9.083
48.23				9.188
97.14				13.41
68.84				12.94
81.74				7.123
64.73				9.638
91.71				6.636
62.73				8.463
91.29				12.57
73.99				11.08
83.53				7.036
78.95				10.44
78.69				13.96
76.36				11.62
50.93				12.12
68.64				11.78
97.55				10.05
67.20				7.154
63.82				12.84
51.61				5.670
106.2				11.02
57.87				6.599
83.57				5.801
78.14				5.787
87.04				12.92
39.67				11.70
103.5				10.01
94.58				12.41
72.46				9.673
82.74				11.34
64.44				8.094
107.3				8.713
83.28				5.925
70.94				13.74
98.32				6.405
96.97				7.786
68.06				8.502
70.86				10.64
86.90				8.093
67.85				8.449
99.08				10.26
105.9				12.03
56.35				10.83
110.5				9.458
71.28				6.826
107.1				7.062
84.44				7.183
76.40				8.911
90.87				8.694
70.79				8.847
54.16				7.428
93.43				12.24
79.14				11.65
83.01				11.13
114.0				9.417
40.73				7.267
66.75				7.406
101.6				11.59
88.01				9.848
95.23				11.00
104.5				11.80
71.77				11.81
68.00				10.55
50.09				12.73
111.4				9.405
112.4				10.90
87.04				9.104
90.79				11.95
87.77				6.189
75.42				11.02
94.29				5.187
68.79				12.40
28.76				7.313
73.67				9.148
86.00				7.313
65.89				11.53
109.8				5.921
79.67				6.984
79.84				7.475
91.76				11.55
71.07				12.11
84.58				6.996
79.24				9.784
